i,A_i_C_PT_mean,A_i_C_PT_min,A_i_C_PT_max,A_i_C_PT_std,A_i_C_PT_median,A_i_C_PT_p_25,A_i_C_PT_p_75
222,46.86505,20.020302,80.790825,13.1547165,46.811558,36.466476,57.18054
223,45.55804,20.003128,79.05129,12.752709,45.676643,35.725895,54.876366
224,43.68574,20.055748,79.15356,12.411777,43.452766,34.489017,52.72973
225,45.32016,20.210052,81.56712,12.126009,44.839657,36.12671,55.91344
226,45.28257,20.004303,79.30613,12.620627,45.331173,35.50921,54.620728
227,44.1116,20.027199,78.28517,12.507803,43.75538,33.999504,53.701683
230,47.78528,20.003166,72.190994,12.514095,49.692204,40.31258,55.38209
231,46.493404,20.085136,78.13648,12.825104,47.01751,36.764458,55.836964
232,46.95104,20.025856,77.983444,12.658998,47.43422,37.41386,56.44965
233,46.634434,20.056465,78.10505,13.052716,47.149906,36.56629,56.31669
234,47.297577,20.012985,78.37674,12.570492,48.345203,37.87847,56.923527
235,44.34306,20.01036,74.33864,11.9171505,44.26959,35.44221,53.04426
236,43.45991,20.120117,75.39425,11.540201,43.439163,34.52025,51.96011
237,47.412422,21.120522,71.88928,12.751298,45.967995,37.344868,57.701588
241,53.531715,20.000732,84.06425,14.149671,55.50759,43.264473,65.13707
242,52.430412,20.03698,87.30937,14.363415,53.48506,42.189014,64.43915
243,54.37095,20.006844,88.48359,14.611718,56.7955,43.761074,66.34446
244,58.192688,20.488724,83.41976,13.811195,60.022835,49.658752,68.41553
245,59.647507,21.451576,79.8169,12.953547,63.672188,50.64069,68.16168
246,58.807697,21.448975,78.31827,12.96479,62.39635,50.068764,66.663055
248,50.298744,20.589035,75.77345,14.599632,50.698418,39.899616,63.84943
249,45.63779,20.113022,78.06775,13.603437,44.215805,36.162277,55.6426
250,50.86662,20.058464,86.35195,14.442504,50.80969,41.313305,59.882957
251,51.249344,20.276535,88.13193,14.521516,52.276756,40.614513,62.225624
252,52.774353,20.01548,89.42041,14.521799,53.88689,42.566196,64.72481
255,46.863956,20.163841,79.17592,13.063633,45.81031,37.524117,57.61754
256,50.711746,20.027138,83.80802,13.583307,52.169834,40.60488,61.64254
258,41.859066,20.01332,79.44963,13.468251,39.90889,31.876553,50.00535
260,47.524803,20.022148,87.42735,14.244398,47.132576,37.06109,57.98224
261,44.000233,20.052406,82.02339,13.7073,42.51527,34.54605,51.933094
262,44.328625,20.12735,86.73191,14.515929,42.93385,33.40243,53.584785
264,43.183846,20.064621,80.40119,14.396132,41.314842,33.78494,49.211693
265,43.0449,20.018974,79.703,14.248349,41.005856,33.812054,48.72424
267,42.91483,20.21534,78.49589,14.046673,41.27511,33.937187,48.152412
269,39.487873,20.050903,77.36956,14.567078,35.92257,29.611835,46.59592
271,42.125786,20.249336,79.218216,14.495722,39.696384,31.936054,48.71322
272,43.919678,20.006058,85.372185,12.647862,43.517967,34.25968,53.989338
275,42.12363,20.055153,84.72781,13.450842,39.98012,31.060795,52.964455
276,42.89046,20.001122,86.013664,12.625535,42.098957,33.020065,52.895706
277,42.53124,20.034042,86.187004,13.018444,41.22186,31.822397,52.951668
284,36.750633,20.011528,79.334015,13.933657,31.670004,26.650188,44.13449
286,41.12206,20.002296,86.84631,14.494414,37.71552,30.49675,48.116894
287,37.516006,20.071419,75.721985,14.843857,30.362133,28.951427,43.975346
288,40.985737,20.001602,85.928154,13.461527,38.309814,30.83569,50.59861
289,39.90411,20.005867,83.4033,13.20949,36.931923,29.683098,49.858994
290,37.683357,20.074043,76.74712,14.495078,29.98,27.815182,44.516094
291,37.216457,20.135063,74.207306,14.803727,29.824514,28.371544,44.265205
292,38.757065,20.065407,75.60068,14.623504,33.988,28.40371,48.282494
293,39.652775,20.005386,87.71269,14.62072,35.338303,28.675442,48.800297
294,49.96263,20.148125,78.40343,14.079706,49.364815,39.907593,59.992928
298,43.71712,20.035393,75.7944,12.325119,43.385513,34.69113,53.015415
299,51.898155,20.026756,83.67679,13.515045,54.280403,41.77365,62.51261
300,53.074787,20.24057,86.24185,13.254956,55.899193,44.188873,64.21286
301,48.997246,20.081795,76.02855,14.620291,50.29218,37.479424,61.658596
302,49.00547,20.072594,81.455894,13.403309,49.461662,38.28317,58.76231
304,41.48316,20.341583,80.44496,14.440916,37.47051,31.516758,48.00442
306,41.43924,20.022743,78.85099,14.895796,36.918667,29.879353,52.31576
307,39.437275,20.086525,81.29618,14.759605,35.644325,29.35011,46.579803
308,41.87577,20.002632,88.178154,13.924574,39.25557,31.082153,52.52488
310,39.985107,20.044655,74.996666,13.383043,35.735657,32.60874,46.73073
314,39.779095,20.00586,89.042114,13.85835,35.633766,29.123558,50.072346
315,38.66596,20.09974,77.02686,14.540591,33.666748,28.199078,47.57228
318,55.257996,20.673096,75.4707,11.961206,58.778053,48.402115,61.478645
322,49.16788,20.012215,84.357666,13.047962,50.63836,39.267067,59.082634
332,43.19251,20.01345,84.397545,12.337312,43.099144,33.52446,52.911133
333,36.542233,20.2975,59.79276,11.5938225,30.371838,28.482273,45.665726
334,37.19149,20.046097,81.4673,13.614327,32.140724,27.618855,47.693386
335,45.98528,20.639328,78.88951,13.103031,45.258614,35.032463,57.698296
336,44.672882,20.054832,85.71003,12.920979,44.61988,34.064766,54.746128
337,43.963882,20.02803,88.16307,12.966699,43.339478,33.905334,53.937523
341,49.861332,21.646011,78.39763,12.193938,52.939945,43.615166,57.230137
342,46.56416,20.243614,79.193375,13.509489,48.223774,35.69407,56.646263
343,49.50026,20.005684,81.44718,13.171758,50.68035,40.53828,59.005653
344,45.88585,20.037827,80.90569,13.45614,46.367664,35.093803,55.385445
345,47.29472,20.023506,84.469185,13.506175,48.828674,36.913086,57.89575
346,44.422882,20.034096,79.142426,12.866496,45.478676,34.453445,52.718994
347,45.6266,20.082954,83.27821,12.866116,46.67501,35.209457,54.706856
348,49.717014,20.441193,85.865875,12.290707,50.817116,41.76395,57.916878
350,43.118763,20.000572,85.37366,12.611738,42.212975,34.33557,51.572517
352,38.865627,20.097748,85.26258,11.648258,36.322132,31.53867,46.18595
353,42.385532,20.003914,85.76465,12.446763,42.04502,33.26601,50.113373
354,43.05209,20.625198,81.7977,12.807516,42.66633,35.40873,48.974392
355,42.248627,20.034592,84.14959,12.7541895,41.986813,32.862747,49.81024
356,40.059975,20.048203,84.39846,12.677695,39.51762,30.686056,46.875877
358,38.825535,20.025383,85.24858,12.844417,37.590347,29.201328,45.283207
359,38.244843,20.135773,84.661644,13.191815,36.606655,28.505264,44.538136
360,44.65075,20.022324,86.33745,12.589665,44.91014,35.79822,52.82014
361,42.568317,20.092789,84.46882,12.485669,40.00205,34.159416,48.50486
362,41.442562,20.311638,82.38349,12.230834,39.933815,34.220055,49.732544
363,44.367268,20.019554,82.43246,13.011368,44.67073,34.668167,52.64611
365,43.352917,20.011116,83.78043,13.090355,43.18177,33.470814,51.52365
366,41.88816,20.101883,84.36554,12.44442,41.668312,32.94322,48.661545
367,39.961006,20.067673,84.26753,12.735203,38.677906,30.748642,46.559315
368,42.601078,20.011703,87.51259,12.94861,42.612797,32.909084,49.822914
369,40.719994,20.002106,86.567764,12.855683,40.003315,30.849598,47.653435
370,40.031036,20.00415,85.908745,12.23063,39.045544,30.56476,46.88489
371,37.352104,20.358482,82.23506,13.095429,35.133514,28.706814,43.43243
373,44.799347,20.021675,88.35187,12.67296,45.000378,35.44816,52.707245
374,44.03895,20.368507,87.36886,13.109338,45.172325,33.61594,51.931576
375,42.31806,20.183083,84.72505,12.835819,42.3506,33.416367,48.822426
376,40.896847,20.00837,87.56103,12.931775,39.72473,30.929731,48.118153
377,41.35197,20.161606,86.83391,12.610794,41.397774,31.832664,49.01423
378,40.727837,20.040848,86.12972,12.950983,40.119762,30.540516,48.13837
379,41.155445,20.011955,87.638885,12.499545,40.142815,31.38134,49.057095
380,39.21746,20.014725,87.37524,12.690672,38.664528,29.104076,45.9225
381,40.838326,20.030296,86.094055,12.823538,39.88087,30.340006,48.868973
382,42.191387,20.076645,84.73899,12.539909,42.77059,31.942415,49.676476
383,43.816803,20.028221,84.67959,12.66542,43.71684,33.88275,52.75061
384,40.896805,20.008759,85.7554,12.502013,40.39377,31.044712,48.421673
385,39.676895,20.047829,85.37778,12.720546,39.35103,29.89831,46.549644
386,37.46501,20.116745,83.294556,13.058535,35.319046,27.347927,43.3992
389,38.356102,20.353813,86.12123,12.876534,37.26818,29.19212,44.442146
390,41.295475,20.010033,86.51978,13.033921,40.728218,31.372211,48.506664
394,46.685295,20.02781,79.446304,13.015522,45.414265,40.494473,54.77985
395,46.07835,20.031288,82.60411,12.163942,47.106533,37.544613,54.228798
396,43.62132,20.016914,84.532295,12.653087,42.89407,34.006935,51.89242
397,43.123398,20.071503,85.36138,12.409907,43.17764,33.794476,50.794174
398,45.894283,20.760117,77.47485,12.726574,41.92396,38.24718,54.07582
399,46.15579,20.246346,82.29637,12.018349,45.348988,39.512672,52.17273
400,41.893066,20.036293,83.269936,12.917455,40.688335,32.185505,49.67119
401,44.52747,20.03167,84.62593,12.94051,44.981174,35.002266,53.01945
402,42.7885,20.050034,84.93861,12.568868,41.95881,33.84604,49.65886
403,45.108692,20.013618,83.40217,11.5133095,45.341125,37.56337,52.29757
404,44.789,20.107887,87.92381,12.239853,45.334435,35.665955,52.728977
405,41.80021,20.006691,82.020294,11.621479,42.15321,32.56938,49.516838
406,43.73072,20.029701,79.30231,11.357186,43.806355,35.68525,50.383488
407,40.893806,20.0074,80.541435,11.319942,40.394382,32.191017,48.262688
408,43.434574,20.9803,82.74957,13.450107,38.05564,34.9894,50.880947
415,42.726765,20.004173,80.954506,12.646235,42.68891,32.636997,51.878784
418,43.28349,21.064949,79.42523,13.534958,41.623642,34.179306,51.893852
419,39.81234,20.04409,80.27933,13.244641,37.970726,28.601929,49.46071
420,40.033985,20.209236,84.11477,12.521439,39.028347,29.4832,47.96023
421,39.895687,20.003777,84.873535,12.441343,38.80877,29.843449,48.460728
422,40.139423,20.019577,85.26748,11.772566,40.425842,30.448124,48.13114
423,44.988873,20.585472,74.89702,12.252075,41.074833,38.10663,52.10479
424,38.661278,20.003922,84.865776,12.163843,37.669994,29.221645,45.84441
425,40.11465,20.003654,87.95555,12.030712,39.51356,30.218788,48.565697
426,37.49848,20.006882,83.82641,11.942961,36.527145,27.278507,45.322144
427,38.00014,20.01789,84.59635,12.540854,36.33634,27.421719,45.51725
428,36.63237,20.00035,84.56447,13.111509,33.88918,25.546738,43.977287
429,37.728012,20.04567,84.503586,13.213607,35.019333,26.749416,44.878517
430,37.67044,20.005096,88.15544,12.689084,35.648632,27.461319,45.496662
432,36.995625,20.003777,86.34803,13.188461,34.65244,25.92881,44.47854
433,38.026627,20.215218,85.60136,13.502487,35.528255,25.985336,46.76611
434,35.434765,20.00026,82.61656,11.210375,34.23809,25.93785,42.330925
435,37.30213,20.000702,84.30125,11.746635,36.204433,27.425552,45.029095
436,36.359695,20.016983,80.04919,12.727919,33.270027,26.000706,43.71101
437,38.070583,20.003891,83.70084,11.703594,37.31636,28.1586,45.828
438,33.860733,20.03743,79.558426,14.677197,30.714878,21.448135,41.753246
443,36.93066,20.011322,81.50541,13.135561,33.280273,26.30272,44.838417
445,37.700703,20.08609,76.34041,13.0351515,34.237453,26.66767,46.730377
453,38.38852,20.00953,87.509346,13.134052,35.98209,28.040546,46.328857
454,42.1859,20.191132,81.04785,13.51663,41.133385,30.119888,52.326042
456,38.14464,20.02089,85.80496,11.646729,37.736523,28.3079,46.003387
457,36.646057,20.018463,86.82456,11.363499,34.89264,27.397999,44.222095
459,38.589703,20.020737,81.95613,11.116817,37.673008,29.77493,47.577198
460,38.750797,20.000984,84.020706,11.299573,37.643227,30.634422,46.623398
462,39.046898,20.007896,85.162224,11.062903,38.13943,30.58374,47.238327
463,37.903286,20.001534,80.98888,10.735492,36.66668,29.342842,46.51819
464,36.941437,20.005241,81.2001,10.572267,35.222366,28.908127,45.0494
466,37.92986,20.083977,85.67359,13.377768,33.235786,29.166222,44.202354
470,39.7833,20.021889,86.708435,11.911123,38.87597,30.208117,47.66875
471,32.99412,20.561005,78.02808,12.236891,30.735146,23.779701,37.65113
473,34.238907,20.014915,77.24629,11.510057,32.077835,26.923717,37.402916
474,38.96962,20.000366,87.25986,11.672737,37.95241,29.66158,47.02461
