i,A_i_C_Car
1,16.777907292420927
3,16.239557226060764
4,15.417513422151755
5,17.636623482139523
6,17.932528660740076
7,18.850350540378553
8,19.91535796474716
9,19.364950140305982
11,18.910715464600372
12,18.101026890720547
13,17.162463711078072
14,17.446767837124614
15,18.53797664668454
16,18.306161282914697
17,18.583141915410938
18,20.283804597661668
19,21.562676880312566
20,20.821371531350614
21,21.281088500838894
22,20.032575217592573
23,18.513838770585775
24,18.65320161225407
28,18.252570277312447
29,20.386195951578483
30,19.47598061931177
31,20.12157807112125
32,20.94094540487164
33,20.46219840220377
34,20.607042611783967
35,20.819268198811383
36,19.29850897704108
37,17.766432689746292
39,18.55609974161077
40,20.31868306524063
41,14.718871800165456
42,15.75533868377811
43,18.74867598007676
44,18.579059783664565
46,17.60974581051823
47,18.901428579994466
48,18.437964381948138
49,15.245678937853258
50,19.017198114647186
51,19.090015254091597
52,17.69190619843478
56,19.302911691907816
57,18.11608009269767
58,18.034324897251622
59,18.05718851395381
60,17.42145847073086
61,18.488556138628084
65,18.637619118402824
66,16.816093153121017
68,15.992651623339226
73,11.891541059763938
74,18.116481435341363
75,21.147039013252883
76,19.73223924392682
77,13.809999136259435
79,17.665236866547062
81,15.55631775478862
83,14.14712999926919
84,15.173560856666803
85,20.306452411827703
86,20.556138532692778
87,18.648095195552596
93,20.03887847647176
94,19.227824988451804
95,17.938156280712352
96,19.012070150299582
98,17.13505603427134
99,15.10068590993128
100,13.563545715288097
101,15.497121448858996
102,14.829937441792975
103,16.329874938273843
105,11.944112864760365
106,13.790135194152894
107,12.784074895786928
109,13.519696415843098
110,16.34433361986047
111,13.398003953323341
112,15.241298244676763
114,11.861640025504736
115,12.704191768978816
116,14.205381678899096
117,11.800027942979538
118,11.361951187347424
119,13.95888091362402
120,11.982577087638978
121,11.782522491994714
122,13.107070681992186
123,14.332995540387437
125,11.472382945401652
128,11.29844643324919
131,17.434673440995475
132,16.82793269592296
133,16.184349823011715
134,15.770265239632721
135,16.5135792134383
136,14.032260543138909
137,14.330449539108315
138,16.64088491508196
139,17.04958656774152
143,17.4921657276359
144,19.574184036214508
145,19.104007723233227
146,19.41436905831024
147,20.070207448698348
148,19.659064731557528
149,16.930371510998203
150,20.178347023739665
151,17.494321752569245
153,11.126526223065852
154,14.241682819802191
157,13.637722544292442
158,14.516062607355002
159,16.33834281824454
160,15.184409223677633
162,16.612456576753328
163,14.704550028430322
164,13.299143957339389
165,14.89489758399789
166,15.293923824757961
168,16.459719586702548
169,17.13095563163545
170,19.585257875990887
172,14.967308206923192
173,19.31245214458243
174,10.133327544533312
175,10.152011635135015
176,10.201367879711688
177,10.512744672586646
180,12.466298372958999
181,9.547080287181352
182,8.238594233122678
183,7.565759831278708
185,11.170325862895357
186,12.080775562166517
187,10.007274793029751
188,11.637481935123239
189,12.39449919040749
190,9.935137107474057
194,11.876482851211016
195,12.496778997682314
196,8.278376984975718
197,10.94320129382995
198,14.851781365257466
199,16.3653244284608
200,15.003766595946638
202,12.882756540495615
203,16.420717157772458
204,15.761068495639671
205,15.482799804215333
206,11.89848001109323
207,12.720431020623687
208,14.508431247845197
209,13.123474012038054
212,9.79927614144973
213,11.523832182371718
214,12.99417607512876
215,9.918593480177625
221,11.457386738756707
222,8.517088848616565
223,12.659772702732642
224,12.528243212579646
225,9.200197570647438
226,5.70133620775042
227,11.933698578041835
230,12.355784045410543
231,7.200194060916646
232,9.060452113764724
233,8.094776843246384
234,12.321393271904547
235,6.124828542306701
236,7.1745774745172595
237,16.382186129718505
238,11.669732183055611
240,13.043307986015577
241,13.431680197735703
242,12.830731631651224
243,14.6822423450686
244,14.117089558553207
245,13.910129056292766
246,12.859534752153431
247,11.962346216400583
248,11.98992017397264
249,12.620717804350063
250,16.398573516980466
251,15.937139988075291
252,12.364687612305916
253,9.473199351240362
254,7.8036518375441934
256,10.718516110681836
257,8.802156781368756
258,9.816002556736779
259,8.815949979450174
260,11.132988963253613
261,11.700883463689745
262,8.89501713440839
263,11.59720817722456
264,13.710314686841958
265,10.646893327556295
267,9.260415242032991
269,13.024543535996006
270,9.765472935867294
271,8.987812871373716
272,7.122691921806332
275,6.789515589006977
276,5.007612072554767
277,5.0895875120277125
284,6.695626338211927
287,9.619298550584983
288,10.224864999953008
289,8.28843312311893
290,10.567370930952825
291,9.37838466994844
292,11.269758512034999
293,9.819697776049468
294,11.19922256751677
298,11.906668417302248
299,9.833497663939236
300,11.936716946581994
301,10.145419793957412
302,11.147905149581838
304,9.279850167022945
306,9.458037614958215
307,13.141942323706028
308,8.631267122193181
310,9.844881975401828
314,11.424926189389895
315,8.849390559599243
316,12.012909702020561
318,6.73708846495227
321,6.764769748342093
322,10.778822110110688
328,6.803798473054048
330,8.499508031636601
332,4.661903759219109
333,4.442041634994548
334,6.143402090306016
335,7.508302824026749
336,8.209921530976976
337,7.104618169996035
339,12.591296320010288
340,12.960726196842506
341,15.211888742924238
342,11.749188548458518
343,12.683793705357596
344,12.17299892978676
345,11.541738357220105
346,12.772645868027112
347,10.387717550202321
348,14.551816693039214
349,9.043457083327665
350,10.176318606305715
352,9.235842648397075
