i,A_i_C_Car_mean,A_i_C_Car_min,A_i_C_Car_max,A_i_C_Car_std,A_i_C_Car_median,A_i_C_Car_p_25,A_i_C_Car_p_75
195,31.885391,20.19851,50.791576,6.695282,32.5309,26.574856,33.918736
196,27.281902,20.635536,49.565746,7.1572375,22.884262,22.884262,31.1689
197,33.416386,20.058334,55.791576,7.782923,32.42064,27.512733,38.55383
205,38.69059,20.264175,55.53345,9.585882,40.013206,30.674717,47.2631
206,36.341244,20.256973,53.53345,8.041543,37.741215,30.850391,43.20014
207,36.29799,20.003174,66.7856,8.501836,36.29879,29.758251,42.89343
208,37.879025,20.017975,70.74184,8.980695,38.852394,31.231073,43.826584
209,34.347134,20.04522,52.259705,7.66782,34.9625,28.742722,41.032696
212,32.5322,20.012955,62.533447,7.6630173,32.413933,25.57106,38.227036
213,34.983772,20.020126,64.7856,8.385436,34.74555,28.065117,41.84729
218,32.658596,20.079727,65.398796,7.8921413,31.646208,26.41613,38.763817
222,31.27307,20.078598,57.753864,7.2729983,29.825441,24.777412,36.62757
223,33.45547,20.000343,63.654415,8.514855,32.49297,26.6511,39.520138
224,32.996532,20.016205,61.846313,8.405603,31.710152,26.218533,38.992973
225,30.114809,20.144196,56.105698,6.7489853,30.057884,25.844078,33.1269
226,29.481216,20.002823,57.203938,6.7487717,28.458712,23.938335,34.30641
227,33.30992,20.01226,62.846313,8.504209,32.54924,26.59388,39.53345
230,32.237995,20.208153,53.791576,8.488905,33.006603,24.668068,38.880547
231,30.008657,20.017021,58.209694,6.9995136,29.048649,24.446661,35.017956
232,31.138956,20.007065,56.039032,7.1776943,30.215633,25.374027,36.041496
233,30.768597,20.00319,60.785595,7.238519,29.839506,24.777412,35.9484
234,33.282246,20.0056,65.79158,8.154806,32.47562,26.466932,39.74555
235,28.359476,20.000984,54.308407,5.882286,27.437283,23.503874,32.314377
236,29.054605,20.027077,57.284157,6.8175797,28.192844,23.777412,32.998333
237,34.99069,20.029167,56.92751,7.9553604,35.397205,29.651878,40.192905
241,36.034428,20.00621,68.11056,8.601664,35.852394,29.366707,41.2631
242,35.765095,20.031075,74.497284,9.552267,35.169754,29.239948,40.6219
243,37.5295,20.050056,85.48359,9.2772455,37.74555,30.84156,44.19365
244,37.967365,20.111336,73.48359,9.465766,37.24303,30.783768,45.804367
245,40.393463,20.39209,54.58749,9.448027,41.77265,33.454082,48.852394
246,39.32634,20.577957,52.58749,8.828397,40.25308,31.570133,47.14537
248,36.957138,20.138756,53.585884,8.626877,36.062984,30.366707,45.852394
249,32.462948,20.021263,69.423805,9.280269,29.777412,26.2631,36.821346
250,37.330914,20.023949,73.210304,9.846634,36.32606,30.711853,42.21551
251,36.57755,20.00312,85.13193,9.690441,35.95428,28.873795,42.852394
252,35.453186,20.005142,84.42041,9.382143,34.756447,27.807285,42.2631
255,33.83799,20.417732,58.943638,9.718946,32.686775,25.736599,40.60701
256,34.673573,20.008781,68.48359,8.372792,34.772415,28.173199,40.730618
258,32.956425,20.0615,68.15417,10.987525,29.23248,23.825335,41.445496
260,32.605145,20.021263,74.84384,9.121491,31.159084,25.334435,37.878475
261,31.568127,20.09108,67.84631,9.53486,29.095957,24.892075,33.853733
262,31.143814,20.030533,74.84384,10.477447,27.485313,23.099491,35.91832
264,32.118324,20.053543,67.84631,10.146681,28.573421,26.686462,34.757607
265,33.110043,21.039848,63.846313,9.375878,29.777412,28.258968,35.658974
267,31.987246,20.832031,65.84631,10.329422,26.777412,25.366707,35.44082
269,31.506132,20.089844,63.846313,9.393401,29.2631,24.2631,36.602898
271,31.299744,20.015083,63.846313,11.056738,25.356422,24.777412,37.516735
272,31.245209,20.01329,71.16307,7.80376,30.210693,24.950542,36.38285
275,31.676931,20.058716,72.795876,8.79379,29.923992,24.705055,36.19313
276,30.084845,20.009354,74.795876,7.4386973,29.01392,24.07577,34.59463
277,30.319353,20.028923,69.795876,8.050611,28.772415,23.843842,34.9033
284,36.028088,20.205696,69.84631,9.951805,35.500572,28.420406,42.423805
286,36.290043,20.037888,83.84631,12.796568,34.550804,24.645996,45.506466
287,33.40796,20.171623,60.56108,12.1739,27.595963,22.97879,42.2031
288,32.399494,20.005562,74.178154,9.702289,30.163067,24.445633,38.467567
289,30.589333,20.014854,68.27968,8.382993,28.522484,23.790829,35.09143
290,35.235844,20.28431,58.178154,11.57377,36.492214,22.83817,44.527714
291,30.41664,20.037773,59.178154,9.87578,25.777412,24.366707,34.566154
292,32.10296,20.0887,65.84631,9.76612,28.777412,26.555223,36.49345
293,31.899181,20.016518,74.178154,10.343375,28.5013,23.483307,38.681736
294,33.008224,20.19677,64.7145,8.520855,31.07281,26.205654,38.85675
298,33.472843,20.0195,63.846313,8.463854,32.197704,26.791746,38.96762
299,34.04113,20.062973,68.48359,8.165641,33.75863,27.280392,39.75863
300,35.985153,20.083626,71.943634,8.559356,36.74897,29.354404,41.37069
301,34.688408,20.070168,52.878475,8.531526,35.284306,27.424278,42.866158
302,34.121193,20.0168,67.42041,8.47004,33.01441,28.11802,40.156796
304,31.079218,20.511848,67.84631,11.132435,25.466705,23.366707,36.122387
306,32.8989,20.028923,60.178154,9.144585,31.87373,25.056747,38.37215
307,31.504889,20.089844,69.84631,9.774601,29.2631,24.2631,36.352356
308,31.990166,20.01159,85.178154,9.727992,29.742231,24.428738,37.18109
310,35.793114,20.087906,60.978317,12.422109,32.1715,25.79007,45.576538
314,32.0324,20.008423,86.042114,9.503217,29.76561,24.5121,37.998333
315,30.53228,20.044937,65.84631,9.997027,24.971039,23.560333,35.450603
318,34.30676,20.364342,51.117275,6.234193,34.49142,30.436502,37.37378
322,33.249912,20.012886,66.11728,8.054615,32.6284,27.031868,38.79675
332,29.086914,20.02642,74.16307,6.7234855,28.153316,24.153313,32.280224
333,27.943434,20.131454,43.516735,7.6693325,28.405926,20.560059,33.954567
334,33.026558,20.253662,63.795876,8.320326,31.358513,26.305786,38.47383
335,31.83058,20.250824,55.943638,7.9173303,30.948658,23.777412,38.856857
336,31.484936,20.001411,63.42041,7.848722,30.61642,24.901493,36.512535
337,31.195753,20.011642,85.16307,8.592075,29.65171,24.672462,36.157272
341,34.71805,20.46016,62.6102,8.514149,36.484356,27.693129,37.89506
342,32.090385,20.041245,62.343517,8.475202,31.061016,24.430384,37.03904
343,33.94379,20.003563,69.35187,8.271599,33.493095,27.31261,39.79823
344,32.272186,20.056763,73.35187,8.36346,31.2631,25.276613,36.92253
345,32.91084,20.010117,73.35187,8.488391,31.50475,27.073769,38.251232
346,30.218904,20.005486,62.32854,7.486058,28.94086,24.45365,32.94086
347,31.346407,20.026566,67.57538,7.7161446,29.895061,25.852394,35.826687
348,35.14098,20.016113,71.08338,8.600244,35.64309,29.459,39.2631
350,29.899626,20.056717,69.35187,8.3269205,27.913189,23.965952,33.31383
352,28.786825,20.102524,73.6102,8.568062,27.754286,22.39177,31.39867
353,30.094036,20.001175,69.264175,8.16336,28.028927,24.141762,34.19281
354,28.385313,20.542267,58.65148,8.897842,25.051155,23.64045,29.22705
355,30.402018,20.001953,70.6102,8.250145,28.544006,24.485373,34.149624
356,28.315699,20.00319,73.264175,8.354407,25.277195,22.677963,31.178207
358,29.446701,20.022934,68.882706,9.579689,26.243137,22.417007,33.7111
359,31.032001,20.09188,68.43085,10.926244,26.865154,22.13475,38.887543
360,32.07563,20.011436,71.35187,8.551483,30.774773,25.506872,37.028927
361,30.555523,20.062592,62.37109,7.906117,30.447456,24.870377,32.3399
362,29.25475,20.205444,68.15993,9.113401,29.599636,21.240139,31.40672
363,31.096598,20.000465,73.35187,8.391834,29.503408,24.65964,35.728638
365,30.156954,20.000992,67.49568,8.023329,28.496643,24.222229,33.992798
366,29.520714,20.045319,73.35187,8.050703,27.91388,23.84205,31.966892
367,29.697495,20.109344,70.84023,9.337823,26.8233,24.306232,32.36523
368,29.9702,20.042114,72.79222,8.145301,27.507103,24.176332,34.072353
369,29.401466,20.005089,74.11733,8.798227,26.664295,22.70047,33.112694
370,28.636395,20.001266,73.11733,8.368241,26.47157,22.307945,31.405724
371,31.855417,20.468597,67.05672,10.9096775,27.03574,23.67165,37.53858
373,30.252756,20.001816,85.35187,8.396834,28.231241,23.897629,34.406586
374,28.804005,20.064445,74.35187,8.410376,25.603458,23.218668,32.140118
375,29.070156,20.139473,73.35187,8.764008,26.082153,23.450188,31.354877
376,29.541946,20.000557,74.79222,9.898563,26.457615,22.448387,33.071648
377,29.37105,20.003036,74.35187,7.619754,27.484356,23.88141,32.60604
378,29.684137,20.092865,72.35187,8.204603,27.686752,23.852394,33.634953
379,28.993464,20.004364,72.35187,7.866203,27.483044,22.781593,32.51652
380,28.907536,20.068993,68.84808,8.11354,25.927994,23.2631,32.51198
381,28.912834,20.068993,68.84808,7.849611,26.034435,23.2631,32.687027
382,28.161242,20.116463,70.79222,7.488091,25.2631,22.933891,31.601501
383,29.472656,20.01918,69.35187,7.5389366,27.513634,24.236374,33.769077
384,28.738731,20.00879,67.59537,7.6458797,27.047184,22.686752,33.04751
385,28.67016,20.00422,67.38193,8.500385,26.169817,22.895058,31.920399
386,28.767225,20.082664,66.43085,9.631046,24.307808,21.914513,33.611095
389,30.028282,20.376808,74.264175,7.9584656,27.84468,25.585175,32.381367
390,29.820086,20.000954,74.264175,8.540564,27.20463,23.800041,33.285316
394,35.133514,20.183578,66.26499,8.143969,35.25467,30.36173,38.463974
395,33.678158,20.008713,73.33713,8.2890005,33.343857,27.165272,38.71453
396,33.287823,20.000557,70.59961,8.197839,32.166885,26.928753,38.998146
397,32.850815,20.161865,69.92381,8.047012,31.54022,26.75914,38.03431
398,31.711393,20.702797,50.285526,7.7032785,27.791073,25.852394,35.729103
399,36.37278,20.005562,60.6102,8.131773,37.2631,30.610203,40.318394
400,31.940588,20.027863,69.476906,8.162742,30.443233,25.504032,36.963993
401,32.621807,20.023369,69.42381,8.235452,31.401241,26.75914,36.89044
402,32.870277,20.033539,71.92381,8.218043,31.638035,26.518047,38.32019
403,36.725834,20.005562,72.26499,8.506091,36.926502,30.88879,41.785595
404,35.21255,20.005562,84.92381,8.747863,35.2631,28.444323,40.44147
405,33.082275,20.004013,72.92381,8.155524,32.30869,26.802181,37.952103
406,31.899864,20.039673,71.6102,8.102878,30.727356,26.060402,36.00052
407,31.428598,20.015488,67.92381,7.6874156,30.124346,25.26738,36.235344
408,31.545755,20.337296,55.239304,8.705174,27.322157,24.084944,39.665245
415,30.774271,20.000443,66.18659,7.182398,29.980305,24.878935,35.426205
418,31.316353,20.206017,64.59961,8.552988,28.654316,24.936028,34.96761
419,30.154682,20.006607,60.59961,8.299664,28.15688,23.317001,34.721275
420,32.709755,20.005577,72.95555,8.111175,31.437038,26.58072,38.486282
421,30.552923,20.003342,70.022385,7.302361,29.695553,24.473557,35.603798
422,27.54455,20.017601,68.72694,6.247255,26.445442,23.316551,29.727257
423,28.91641,20.397018,62.59961,9.702644,24.627735,21.263092,34.985123
424,29.52271,20.0093,68.95555,6.910925,28.263668,24.204605,33.92276
425,30.165882,20.016518,84.95555,7.7177405,29.002943,24.296478,34.76225
426,28.70183,20.016518,68.64711,6.210223,27.845146,23.802013,32.272606
427,28.973328,20.006607,67.38204,6.7163086,27.978115,23.172691,33.28852
428,28.86907,20.01036,73.40083,7.3500648,26.2631,23.312988,33.60003
429,29.978825,20.008446,69.15544,7.4311852,27.970427,24.219864,34.74555
430,30.593664,20.008446,85.15544,8.003087,28.67521,24.549873,35.55239
432,29.22454,20.04338,67.42862,7.2111454,27.853838,23.78223,33.582417
433,30.317286,20.021828,74.15544,8.794566,26.970968,24.135786,35.58227
434,28.155853,20.000679,67.407906,6.1785283,27.197613,23.620255,31.052757
435,27.29289,20.000153,65.673615,6.4245367,25.994963,22.775711,29.47561
436,28.275892,20.012451,56.57281,7.76371,25.45575,22.576202,33.276867
437,29.718168,20.013458,71.15544,6.902388,28.682957,24.459892,33.044426
438,32.626316,24.462852,50.046253,8.300502,28.756084,27.67937,37.91627
443,27.677528,20.007362,65.08269,6.0897503,26.46326,23.250435,30.562088
445,31.388048,25.955551,38.320545,5.1519623,30.638048,28.955551,33.070545
453,31.366802,20.016518,73.348564,7.7666483,29.884262,25.765675,36.47615
454,30.849186,20.008446,62.749794,8.004226,28.309277,24.554455,34.002213
456,27.6433,20.013496,73.26938,6.846334,26.09599,23.145218,30.10706
457,28.29933,20.015083,74.29565,6.6489205,27.159468,23.966194,31.579762
459,27.367537,20.042099,66.25386,5.3940287,26.560146,23.2631,30.2631
460,29.648224,20.006996,71.966385,7.6989594,27.907343,24.13164,33.852394
462,27.394697,20.022377,67.25386,5.586189,26.345894,23.16005,30.752136
463,27.55559,20.015083,66.25386,5.5064898,26.899464,23.297714,30.785595
464,28.856739,20.006996,70.25386,6.6566515,27.763107,23.677147,33.297714
466,35.476868,20.524498,71.966385,12.0107155,31.59961,25.719284,46.58141
470,28.844887,20.000008,71.95555,6.8805394,27.411385,23.48455,32.480835
471,35.117344,21.352669,52.96638,12.637924,34.5304,25.483406,41.253857
473,41.322853,29.955551,51.551304,8.910538,41.89228,37.886917,45.328217
474,27.965096,20.007324,73.52574,7.152649,26.418911,23.01133,29.819817
475,28.870481,20.013824,85.966385,7.257115,27.608505,23.41906,32.878994
476,28.86629,20.019531,74.791534,7.1981964,27.878475,22.850449,33.235725
477,35.124928,20.03601,58.96638,14.033299,32.95555,24.694342,42.263935
478,28.08444,20.001122,73.53305,6.4671736,27.829762,22.839077,31.305199
479,37.227398,28.461956,45.96638,8.752242,37.253857,32.857906,41.61012
481,26.527246,20.013657,63.96638,8.737997,22.86258,20.417234,28.06648
482,26.70911,20.007957,64.25386,5.688116,25.745552,22.54692,28.985039
483,27.769205,20.035576,67.25386,6.022185,27.205685,23.626476,30.2631
