i,A_i_C_Car_mean,A_i_C_Car_min,A_i_C_Car_max,A_i_C_Car_std,A_i_C_Car_median,A_i_C_Car_p_25,A_i_C_Car_p_75
667,38.083782,20.965652,67.42296,12.131074,40.071556,26.991444,45.363224
668,38.75056,20.83155,68.42296,13.643545,38.529892,26.270414,49.113224
669,44.773956,20.028412,85.42296,18.338543,39.013226,32.427296,60.42296
670,41.34413,20.0317,74.42296,14.072901,38.013226,32.42296,51.42296
672,27.93201,21.117332,50.363243,8.528186,25.476425,23.304312,27.275558
673,41.01809,37.613224,44.42296,4.8152094,41.01809,39.31566,42.720524
675,47.01809,43.613224,50.42296,4.8152094,47.01809,45.31566,48.720524
678,38.056652,20.38234,71.42296,13.857374,33.42296,27.465675,46.42296
682,34.245167,20.230766,68.05672,11.533839,32.45974,22.889717,41.92447
685,25.973957,20.117332,51.58148,7.9331255,23.279655,21.314377,26.750832
687,26.677095,20.010963,63.056713,7.4115767,23.916153,21.676662,29.47158
688,26.998346,20.117332,56.056713,6.596697,25.237328,22.382341,29.99546
689,27.55533,20.00048,59.056713,6.53543,25.843079,22.335968,32.056713
691,28.022762,20.017578,67.05672,7.414983,25.962692,22.117332,32.264175
699,27.866842,20.116096,42.177345,5.7194924,26.899769,23.297714,31.980421
705,31.151985,20.041748,72.56615,9.32364,29.124977,23.898691,35.451794
706,30.233547,20.003769,73.47189,8.631588,28.34356,23.2631,35.17048
707,31.064,20.007286,71.56615,10.526916,27.873337,22.919579,35.14073
708,30.193789,20.006607,85.4719,9.069574,27.6511,23.500587,34.320522
709,30.785807,20.055656,74.47189,9.788162,27.897331,23.684078,34.670433
710,32.620888,20.960007,67.56615,9.431593,30.662048,25.912735,36.64372
712,30.694918,20.008774,73.56615,9.886484,27.684551,23.23972,34.043755
713,30.98595,20.000687,68.23534,9.5635195,28.63412,23.92728,34.41007
714,28.61534,20.000687,72.56615,8.218946,26.630608,22.84153,30.96157
715,28.861809,20.000687,71.852325,8.046129,26.442408,23.143547,31.475666
716,30.862213,20.016983,73.47189,8.080564,29.134207,24.480936,35.2631
717,29.249996,20.025642,85.899765,8.202171,27.056095,23.11351,33.11351
718,30.656384,20.009804,73.5329,7.5058336,29.188145,24.867653,35.425663
719,29.86516,20.010414,74.899765,7.4233274,28.167652,24.061447,34.34702
720,30.739166,20.028984,73.28081,7.855195,29.36912,24.664755,34.770153
721,30.196121,20.00872,59.7331,8.664276,26.923813,22.747225,37.360905
722,31.08328,20.034554,73.56615,10.624745,28.030994,23.742554,34.11239
723,28.224846,20.263092,63.56615,8.655506,25.368011,20.367794,34.15896
725,28.353006,20.009995,66.56615,7.670646,26.761415,22.255175,32.553116
727,28.233158,20.297714,60.56615,7.4607334,25.773743,22.379997,32.447
729,28.570385,20.16426,46.605595,7.09229,25.950813,23.2631,33.70379
730,27.629328,20.116096,60.56615,6.730682,25.910515,21.94641,31.60226
731,30.238312,20.051933,72.83137,9.210525,27.655903,23.51735,33.82943
737,31.709301,20.02697,63.290504,8.716803,30.433329,24.679073,37.372158
738,30.819181,20.028923,66.290504,7.5326614,30.096622,24.868904,34.98253
740,29.192146,20.038681,47.404823,9.13112,26.989235,21.93679,30.41745
746,31.165691,20.021172,69.47189,10.253,28.235426,24.099276,34.17047
747,30.53803,20.3013,66.290504,7.524943,29.34233,24.463966,35.34618
748,31.417442,20.543175,43.926376,9.890725,26.899769,21.684555,41.799126
751,29.541138,20.098976,54.25361,7.042888,28.0989,23.910225,33.564827
753,27.901913,20.007538,71.290504,8.070406,25.513748,22.302588,30.09029
754,27.04778,20.000496,83.290504,7.711193,24.998981,22.057589,29.306599
755,31.506525,20.403183,65.290504,10.330742,28.587505,23.68357,39.460476
756,29.830551,20.015137,68.00577,8.381078,28.021214,22.844246,34.19296
757,30.307133,20.192818,60.392353,8.097715,29.173225,24.487404,34.10646
758,30.470753,20.096222,60.46048,13.12452,26.174564,21.738724,34.579536
760,29.459728,20.20655,44.460476,8.584915,25.714138,24.158295,35.884792
761,26.690384,20.616142,36.20717,6.8722434,24.589573,20.909428,31.990242
765,27.839798,20.460472,55.56615,10.568966,24.438358,21.57212,29.06615
768,35.097843,28.579536,41.61615,9.218278,35.097843,31.83869,38.356995
770,26.56615,26.56615,26.56615,,26.56615,26.56615,26.56615
773,27.548853,20.036469,60.471897,6.944726,25.71202,22.34135,30.581137
774,32.481594,26.743973,43.21615,7.708453,29.983126,26.946892,35.51783
775,31.342793,21.345123,43.56615,8.206019,31.80022,27.156734,32.845737
776,26.976849,20.00637,61.88862,6.787208,24.842445,21.644646,30.180302
777,28.944664,20.119019,64.46048,8.764258,25.799126,22.450851,32.29051
778,30.461235,20.18702,69.290504,9.589603,26.83282,23.471893,34.83295
781,29.183163,20.137787,64.290504,8.593571,26.151188,22.437359,35.375492
782,28.503479,22.155441,31.233837,3.7249131,30.460476,28.207169,30.460476
783,36.83899,22.875023,57.347324,8.043217,37.318993,31.527693,42.460476
789,26.853895,20.03727,37.460476,4.976099,25.93936,23.580881,30.37516
790,26.204737,20.020943,66.77443,6.3803616,24.355453,21.916891,28.094633
793,27.208237,20.499489,38.404823,5.9983187,23.914192,22.143475,32.005516
795,27.88348,20.04512,69.05672,7.078975,25.89946,22.91652,30.992855
796,36.45328,32.24642,42.056713,5.052055,35.056713,33.651566,38.556713
797,27.020905,20.056717,50.363243,6.569274,24.434853,22.258888,29.258892
798,28.446905,20.051865,64.05672,8.766824,25.009491,22.017838,31.678524
799,32.577007,20.117332,50.82903,8.607319,33.556713,26.783348,38.13595
800,27.842007,20.056717,52.792225,6.737642,26.49645,22.501472,30.884855
801,27.349644,20.009697,54.792225,7.9576306,24.502213,21.796793,30.50407
