i,mean
401,0.16435859
402,0.13559794
403,0.11479513
404,0.13987541
405,0.13518499
406,0.15726618
407,0.14059016
408,0.1371286
409,0.11426112
410,0.13794088
411,0.1875097
412,0.13274893
413,0.10760002
414,0.14549018
415,0.14110267
416,0.13319717
417,0.09195175
418,0.09367002
419,0.11243008
420,0.084225714
421,0.11545508
422,0.14487791
423,0.12945503
424,0.11540579
425,0.11829622
426,0.1235048
427,0.11850588
428,0.08690462
429,0.082277715
430,0.08282306
431,0.120310545
432,0.11166786
433,0.11190825
434,0.10620087
435,0.12888688
436,0.11879842
437,0.11123427
438,0.12224446
439,0.12206456
440,0.15946122
441,0.16479667
442,0.13537645
443,0.14762034
444,0.14113437
445,0.1197339
446,0.113073826
447,0.111752115
448,0.1147064
449,0.12888856
450,0.12806675
451,0.1298852
452,0.15214011
453,0.079573266
454,0.116781525
455,0.12901512
456,0.13503577
457,0.13265091
458,0.13053843
459,0.1642608
460,0.14033683
461,0.15359193
462,0.16214052
463,0.1569396
464,0.13398603
465,0.13663796
466,0.1361424
467,0.1160161
468,0.1383152
469,0.12195085
470,0.13799952
471,0.14432403
472,0.14441311
473,0.15108307
474,0.1445464
475,0.13087918
476,0.1251835
477,0.1411435
478,0.12959068
479,0.15174691
480,0.16045666
481,0.15089071
482,0.15410599
483,0.15230252
484,0.157132
485,0.15921399
486,0.12130737
487,0.15470181
488,0.14806448
489,0.15837903
490,0.14364484
491,0.12898798
492,0.14449532
493,0.12475767
494,0.13332276
495,0.14417695
496,0.12397266
497,0.1533615
498,0.17218766
499,0.16683769
500,0.1803492
501,0.1620412
502,0.16400151
503,0.16502485
504,0.11364786
505,0.14266452
506,0.14295474
507,0.12862702
508,0.15332659
509,0.16114192
510,0.15975618
511,0.15383899
512,0.20721275
513,0.19955929
514,0.17307861
515,0.1799726
516,0.142884
517,0.14244002
518,0.1822063
519,0.18094118
520,0.14842878
521,0.14188962
522,0.17534682
523,0.1796368
524,0.1650287
525,0.15502161
526,0.1692354
527,0.10738295
528,0.1362722
529,0.123073645
530,0.15708874
531,0.13847114
532,0.11685562
533,0.13024887
534,0.1629658
535,0.13880251
536,0.15924345
537,0.111916676
538,0.12745406
539,0.10803526
540,0.1305853
541,0.13764578
542,0.11182365
543,0.10352707
544,0.09559111
545,0.11672153
546,0.1256363
547,0.14409254
548,0.13354826
549,0.14504872
550,0.13669038
551,0.14977038
552,0.12944365
553,0.111462295
554,0.09774922
555,0.08781971
556,0.08675133
557,0.11113922
558,0.09818076
559,0.09283812
560,0.0833079
561,0.11789447
562,0.12744714
563,0.117270224
564,0.10637558
565,0.10203618
566,0.09182652
567,0.0914868
568,0.0704277
569,0.062259648
570,0.06817996
571,0.06922397
572,0.09445341
573,0.086331405
574,0.08593138
575,0.057512566
576,0.05651824
577,0.09153502
578,0.06192364
579,0.06023368
580,0.06156905
581,0.081530266
582,0.08267295
583,0.054072794
584,0.05403144
585,0.054511353
586,0.082288176
587,0.059018046
588,0.058916103
589,0.05446381
590,0.08339887
591,0.07999804
592,0.053235855
593,0.05499992
594,0.073349446
595,0.09960663
596,0.10051063
597,0.095033
598,0.11283156
599,0.06995917
600,0.13785414
601,0.13519277
602,0.13078348
603,0.12247793
604,0.12661177
605,0.106362194
606,0.11960993
607,0.07499438
608,0.08667044
609,0.057875253
610,0.09039525
611,0.08265946
612,0.11088367
613,0.17810881
614,0.19987352
615,0.16355965
616,0.16195616
617,0.15865761
618,0.19170247
619,0.17147891
620,0.14686579
621,0.12523615
622,0.1516164
623,0.1537362
624,0.17894733
625,0.16167794
626,0.17904925
627,0.16485968
628,0.16844821
629,0.1641778
630,0.15750834
631,0.1707485
632,0.16987109
633,
634,0.16426076
635,0.15313795
636,0.12360141
637,0.094618134
638,0.11689108
639,0.10997901
640,0.16964133
641,0.075763375
642,0.086607374
643,0.106725246
644,0.17363958
645,0.13691616
646,0.098754056
647,0.11058253
648,0.096342385
649,0.10681305
650,0.117445074
651,0.09139784
652,0.10352438
653,0.08924703
654,0.07841262
655,0.099676356
656,0.06232388
657,0.07683775
658,0.072283976
659,0.069677606
660,0.09969934
661,0.08910925
662,0.09813421
663,0.06532594
664,0.0707919
665,0.09078046
666,0.04755453
667,0.06382769
668,0.048985366
669,0.010215939
670,0.017968893
671,0.11027166
672,0.11358566
673,0.07855422
674,0.08260246
675,0.063545376
676,0.11636045
677,0.1536867
678,0.018513441
679,0.13166893
680,0.094989605
681,0.094698474
682,0.11838011
683,0.10783005
684,0.11541459
685,0.0697521
686,0.29404378
687,0.03290326
688,0.0434592
689,0.028653221
690,0.08148519
691,0.075905144
692,0.11306957
693,0.10086508
694,0.16807574
695,0.14447261
696,0.1063815
697,0.14225392
698,
699,0.14513916
700,0.11252761
701,0.1413694
702,0.11961481
703,0.12496141
704,0.15823892
705,0.12089925
706,0.119382106
707,0.13050692
708,0.11423544
709,0.13082804
710,0.13444462
711,0.12992187
712,0.12915024
713,0.12470018
714,0.12734127
715,0.12775075
716,0.11403409
717,0.12789258
718,0.12861337
719,0.112774745
720,0.112809315
721,0.1474732
722,0.11089984
723,0.13478632
724,0.13157107
725,0.14119568
726,0.10857627
727,0.11993151
728,0.1233798
729,0.116453536
730,0.12200002
731,0.12456367
732,0.13880204
733,0.15193298
734,0.1567154
735,0.121324256
736,0.1569435
737,0.13577823
738,0.11865194
739,0.13889375
740,0.12638627
741,0.16441193
742,0.16030298
743,0.13461494
744,0.13534115
745,0.12875772
746,0.13668576
747,0.12266511
748,0.13329615
749,0.13538477
750,0.104654774
751,0.12849037
752,0.12401325
753,0.114302106
754,0.106208265
755,0.12062818
756,0.12084366
757,0.10364743
758,0.11354311
759,0.11498504
760,0.11349067
761,0.105398186
762,0.09330759
763,0.12000961
764,0.124131486
765,0.10917731
766,0.10764772
767,0.12374589
768,0.11118493
769,0.09812594
770,0.10421727
771,0.117230676
772,0.12307365
773,0.13272744
774,0.10634545
775,0.119536884
776,0.11715346
777,0.1076865
778,0.110520534
779,0.11068334
780,0.101314135
781,0.09936851
782,0.10112565
783,0.10224041
784,0.11931494
785,0.10838809
786,0.08978075
787,0.09913662
788,0.08879599
789,0.1183026
790,0.102773525
791,0.112386875
792,0.12176867
793,0.11733167
794,0.13328119
795,0.06941086
796,0.07547949
797,0.010095678
798,0.044334635
799,0.08374772
800,0.03137844
801,0.050544538
1001,0.07738732
1003,0.04721173
1004,0.081633374
1021,0.10516972
1022,0.10588071
1041,0.07172204
1042,0.09029484
1043,0.09640579
1061,0.04039443
1062,0.07597162
1081,0.008093631
1101,0.3877669
1102,0.3870236
1103,0.3869168
1121,0.15850483
1122,0.09387508
1123,0.093313806
1124,0.06648092
1141,0.09219894
1142,0.09742238
1143,0.0708021
1144,0.105514616
1145,0.06695026
1146,0.10542483
1161,0.03730266
1162,0.14288135
1163,0.08266696
1164,0.05869024
1181,0.09564563
1182,0.1157639
1183,0.09995
1184,0.1159054
1185,0.10833256
1201,0.12110083
1202,0.13009657
1203,0.12288086
1221,0.048957612
1222,0.08845984
1223,0.051687658
1241,0.117432855
1242,0.10956125
1261,0.09946594
1262,0.055271592
1263,0.0018042624
1264,0.006520811
1265,0.03451518
1281,0.09461944
1282,0.17744547
1283,0.13879636
1284,0.16732417
1301,0.08539436
1302,
1303,0.09349865
1304,0.13697854
1305,0.06960401
1306,0.0474942
1307,0.06558815
1308,0.069131985
1309,0.072264455
1321,0.10399478
1322,0.089408934
1323,0.08055469
1341,0.06998748
1344,0.07874961
1361,0.14979109
1362,0.17133057
1363,0.12922919
1364,0.12240239
1381,0.097673535
1382,0.15809852
1383,0.14849961
1401,0.028329562
1402,0.0631705
1421,0.023284443
1441,-0.0013639436
1444,0.40699196
1445,0.40901116
1446,0.38772961
1461,0.13553071
1462,0.09937727
1463,0.094672866
1464,0.11194397
1465,0.09934898
1481,0.092817955
