,Z_Rejon,Do_Rejon,L_Podrozy,Przez_POI,Czas_PrT,Czas_PuT
1,1.0,2.0,3.710441235966323,1.0,385.528417987573,874.6872620998352
2,1.0,2.0,3.710441235966323,2.0,140.779559043287,854.6926568986214
3,1.0,2.0,3.710441235966323,3.0,484.8301174542417,893.547911964763
4,1.0,2.0,3.710441235966323,4.0,334.7818463945046,1056.4502909642977
5,1.0,2.0,3.710441235966323,5.0,251.40924043415444,802.9500158203347
6,1.0,2.0,3.710441235966323,6.0,779.6474318424765,1960.095466805954
7,1.0,2.0,3.710441235966323,7.0,827.9452456441113,999999.0
8,1.0,2.0,3.710441235966323,8.0,251.71984582613706,904.1842152625228
9,1.0,2.0,3.710441235966323,9.0,125.87993020940462,529.2235968594247
10,1.0,2.0,3.710441235966323,10.0,128.43465965988233,889.4546199508931
11,1.0,2.0,3.710441235966323,11.0,184.53676025324563,551.2405170196714
12,1.0,2.0,3.710441235966323,12.0,157.78009069215898,495.2861460959777
13,1.0,2.0,3.710441235966323,13.0,160.60378841398557,177.45022516769544
14,1.0,2.0,3.710441235966323,14.0,262.08264137434406,595.028449336378
15,1.0,2.0,3.710441235966323,15.0,168.39460599183553,551.2816814897662
16,1.0,2.0,3.710441235966323,16.0,452.5096287481346,574.8345653312531
17,1.0,2.0,3.710441235966323,17.0,117.49937428652018,390.94620946823204
18,1.0,2.0,3.710441235966323,18.0,140.5905502482167,636.995387594963
19,1.0,2.0,3.710441235966323,19.0,131.5759305660448,338.8503128370839
20,1.0,2.0,3.710441235966323,20.0,169.86895842932756,1197.1200182921993
21,1.0,2.0,3.710441235966323,21.0,225.4776492578658,670.2629732497281
22,1.0,2.0,3.710441235966323,22.0,186.02741332244014,595.5236646563337
23,1.0,2.0,3.710441235966323,23.0,231.42957942302723,1047.3942531736018
24,1.0,2.0,3.710441235966323,24.0,350.07879419750606,1201.4876661318453
25,1.0,2.0,3.710441235966323,25.0,206.878162250031,1452.8811825867995
26,1.0,2.0,3.710441235966323,26.0,174.62962864994122,969.7788897628276
27,1.0,2.0,3.710441235966323,27.0,103.8305526078122,700.1164276761325
28,1.0,2.0,3.710441235966323,28.0,245.8366722654795,404.79711580093726
29,1.0,2.0,3.710441235966323,29.0,155.28257543583013,999999.0
30,1.0,2.0,3.710441235966323,30.0,215.81913102179254,573.3212777951577
31,1.0,2.0,3.710441235966323,31.0,158.4210098356924,828.871530581088
32,1.0,2.0,3.710441235966323,32.0,318.97139802805225,542.100461846472
33,1.0,3.0,4.13080805461231,1.0,385.10526178696796,874.4392620998351
34,1.0,3.0,4.13080805461231,2.0,141.32805236239236,855.4606568986214
35,1.0,3.0,4.13080805461231,3.0,484.2021213213326,892.5739119647629
36,1.0,3.0,4.13080805461231,4.0,334.65495677226795,1056.2022909642976
37,1.0,3.0,4.13080805461231,5.0,251.62746110086766,804.4840158203347
38,1.0,3.0,4.13080805461231,6.0,779.2242756418715,1959.847466805954
39,1.0,3.0,4.13080805461231,7.0,827.8183560218747,999999.0
40,1.0,3.0,4.13080805461231,8.0,252.40368370542754,903.9362152625229
41,1.0,3.0,4.13080805461231,9.0,125.53414379753643,528.9755968594247
42,1.0,3.0,4.13080805461231,10.0,128.01150345927732,889.2066199508931
43,1.0,3.0,4.13080805461231,11.0,184.11360405264062,550.9925170196714
44,1.0,3.0,4.13080805461231,12.0,157.35693449155397,495.0381460959777
45,1.0,3.0,4.13080805461231,13.0,160.18063221338056,176.47622516769545
46,1.0,3.0,4.13080805461231,14.0,261.92273700364035,594.7804493363781
47,1.0,3.0,4.13080805461231,15.0,168.23470162113182,551.0336814897662
48,1.0,3.0,4.13080805461231,16.0,452.05006785236293,574.586565331253
49,1.0,3.0,4.13080805461231,17.0,116.88570768148482,389.972209468232
50,1.0,3.0,4.13080805461231,18.0,141.13904356732203,637.763387594963
51,1.0,3.0,4.13080805461231,19.0,132.34524544050447,339.61831283708386
52,1.0,3.0,4.13080805461231,20.0,170.63827330378723,1197.8880182921994
53,1.0,3.0,4.13080805461231,21.0,225.01808836209415,670.0149732497282
54,1.0,3.0,4.13080805461231,22.0,185.56785242666848,595.2756646563338
55,1.0,3.0,4.13080805461231,23.0,231.13224298704182,1046.6392531736017
56,1.0,3.0,4.13080805461231,24.0,349.79021593265446,1203.0216661318454
57,1.0,3.0,4.13080805461231,25.0,206.78833272040538,1454.4151825867996
58,1.0,3.0,4.13080805461231,26.0,175.39528520879222,971.3128897628276
59,1.0,3.0,4.13080805461231,27.0,104.5962091666632,701.6504276761325
60,1.0,3.0,4.13080805461231,28.0,246.60232882433053,406.33111580093725
61,1.0,3.0,4.13080805461231,29.0,154.98523899984468,999999.0
62,1.0,3.0,4.13080805461231,30.0,215.35957012602088,572.3472777951577
63,1.0,3.0,4.13080805461231,31.0,157.9614489399207,827.896530581088
64,1.0,3.0,4.13080805461231,32.0,318.51183713228056,541.1254618464719
65,1.0,4.0,0.08912920551678351,1.0,385.2701281622661,875.0512620998351
66,1.0,4.0,0.08912920551678351,2.0,141.94141713008284,856.0726568986214
67,1.0,4.0,0.08912920551678351,3.0,483.5195531604603,893.066911964763
68,1.0,4.0,0.08912920551678351,4.0,335.141231466152,1056.8142909642977
69,1.0,4.0,0.08912920551678351,5.0,252.12056046580378,803.3530158203347
70,1.0,4.0,0.08912920551678351,6.0,779.3891420171697,1960.4594668059538
71,1.0,4.0,0.08912920551678351,7.0,828.3046307157588,999999.0
72,1.0,4.0,0.08912920551678351,8.0,252.9260354957387,904.5482152625228
73,1.0,4.0,0.08912920551678351,9.0,125.69901017283455,530.0955968594247
74,1.0,4.0,0.08912920551678351,10.0,128.17636983457544,890.3266199508931
75,1.0,4.0,0.08912920551678351,11.0,184.27847042793874,551.6045170196713
76,1.0,4.0,0.08912920551678351,12.0,157.5218008668521,495.65014609597773
77,1.0,4.0,0.08912920551678351,13.0,160.34549858867868,176.64022516769543
78,1.0,4.0,0.08912920551678351,14.0,262.43270536028257,595.8994493363781
79,1.0,4.0,0.08912920551678351,15.0,168.72097631501586,551.6456814897662
80,1.0,4.0,0.08912920551678351,16.0,452.21493422766105,575.198565331253
81,1.0,4.0,0.08912920551678351,17.0,117.05057405678295,390.13620946823204
82,1.0,4.0,0.08912920551678351,18.0,141.75240833501255,638.375387594963
83,1.0,4.0,0.08912920551678351,19.0,132.95861020819495,340.2303128370839
84,1.0,4.0,0.08912920551678351,20.0,171.25163807147771,1198.5000182921995
85,1.0,4.0,0.08912920551678351,21.0,225.18295473739227,670.6269732497282
86,1.0,4.0,0.08912920551678351,22.0,185.7327188019666,595.8876646563338
87,1.0,4.0,0.08912920551678351,23.0,230.49326422119398,1047.1322531736018
88,1.0,4.0,0.08912920551678351,24.0,349.66678585261195,1201.8906661318454
