,Z_Rejon,Do_Rejon,Czas_PuT,Czas_PuT,Czas_PuT,time_left_PuT,time_left_PuT,time_left_PuT
,,,sum,mean,median,sum,mean,median
0,1,6,2590.260131776977,19.925077936745975,16.569514238618318,6147.693913682203,47.28995318217079,50.645516880298494
1,1,111,2973.6327489190962,23.23150585093044,20.533720534544088,5629.891234302251,43.98352526798634,46.681310584372724
2,1,114,3048.1441371017368,23.81362607110732,21.096288245420546,5555.379846119612,43.40140504780947,46.11874287349627
3,1,117,2999.372565337095,23.61710681367791,20.99369196246157,5536.9363867653365,43.59792430523887,46.221339156455244
4,1,118,3069.2345909648807,23.97839524191313,21.079460662107557,5534.289392256467,43.23663587700365,46.135570456809255
5,1,132,2638.275296390701,20.294425356851548,16.969102385638593,6099.678749068478,46.920605762065215,50.24592873327822
6,1,133,2623.0313459045174,20.17716419926552,17.08445276485778,6114.922699554662,47.03786691965125,50.130578354059026
7,1,145,2457.734998492768,18.76133586635701,16.45850482933197,6347.434078085329,48.45369525255976,50.75652628958484
8,1,146,2366.9660679383783,18.068443266705177,15.660684911203376,6438.203008639719,49.146587852211596,51.55434620771344
9,1,157,2885.1468611388796,22.540209852647497,19.048569670837608,5718.377122082467,44.67482126626928,48.166461448079204
10,1,158,2921.9504774219286,22.476542134014835,18.915726681780836,5816.003568037251,44.738488984901934,48.29930443713597
11,1,162,2799.520109236885,21.534770071052964,17.91072392972513,5938.433936222294,45.680261047863794,49.30430718919169
12,1,177,3136.718408652219,24.698570146867866,21.78040026776144,5399.590543450212,42.51646097204891,45.434630851155376
13,1,180,3133.2143706644465,24.47823727081599,21.109254587463745,5470.309612556902,42.736793848100795,46.10577653145307
14,1,186,3100.310671749651,24.22117712304415,21.28785406139953,5503.213311471697,42.993853995872634,45.927177057517284
15,1,343,2602.5530128215787,20.01963856016599,16.189883873632112,6135.401032637599,47.19539255875076,51.0251472452847
16,1,396,2973.1451489662177,22.870347299740136,20.599559348325826,5764.808896492962,44.34468381917663,46.615471770590986
17,1,397,2963.9694227909094,22.799764790699303,20.183015387754537,5773.98462266827,44.41526632821746,47.032015731162275
18,1,400,3079.691395733262,23.689933813332786,21.623979132871728,5658.26264972592,43.525097305584,45.59105198604509
19,1,405,3044.0650472377783,23.415884978752143,20.29571388851027,5693.888998221402,43.79914614016463,46.91931723040654
20,1,407,3136.599443886186,24.127688029893736,20.94185830063258,5601.354601572996,43.08734308902305,46.27317281828424
21,1,415,3183.467751460638,24.870841808286233,22.713671212043256,5420.05623176071,42.34418931063055,44.50135990687356
22,1,420,3510.963508432888,27.216771383200683,25.11593687106028,5159.775505907379,39.99825973571612,42.09909424785653
23,1,421,3458.3437573486235,27.01831060428612,24.912408979958023,5145.180225872727,40.19672051463068,42.30262213895878
24,1,422,3511.8523504218183,27.652380711982822,25.652234595518202,5024.456601680615,39.562650406933976,41.56279652339861
25,1,424,3592.1855244213007,28.06394940954141,25.744323294859022,5011.338458800049,39.15108170937538,41.47070782405779
26,1,425,3443.180471964749,27.111657259564954,24.842471640806288,5093.128480137684,40.10337385935184,42.372559478110524
27,1,426,3588.946901865872,28.259424424140725,26.50860411048648,4947.362050236561,38.95560669477607,40.70642700843033
28,1,427,3605.720954137411,28.169694954198523,26.267899573502756,4997.803029083939,39.04533616471827,40.94713154541405
29,1,428,3704.1536960178278,28.93870075013928,27.1604608715364,4899.370287203523,38.27633036877752,40.05457024738041
30,1,429,3649.0557889514826,28.508248351183457,26.637864173112128,4954.468194269867,38.70678276773334,40.57716694580469
31,1,430,3630.7373067909143,28.365135209304018,26.365924546440002,4972.786676430435,38.849895909612776,40.849106572476806
32,1,432,3713.0611110502145,29.0082899300798,27.257840821464413,4890.462872171135,38.20674118883699,39.9571902974524
33,1,434,3837.714370556744,30.218223390210582,28.51522138014492,4698.594581545691,36.99680772870622,38.69980973877189
34,1,435,3676.795769401463,28.9511477905627,27.204410117368788,4859.513182700971,38.263883328354105,40.010621001548024
35,1,437,3676.487334685888,28.7225573022335,26.523006003599264,4927.0366485354625,38.4924738166833,40.69202511531755
36,1,453,3633.0592131076087,28.16324971401247,26.17481863070384,5037.679801232658,39.051781404904325,41.04021248821297
37,1,456,3605.3849002799116,28.38885748251899,26.362519782285787,4930.924051822522,38.82617363639781,40.852511336631025
38,1,462,3432.8365257462583,27.030208864143766,24.372953406494346,5103.472426356175,40.18482225477303,42.842077712422466
39,1,470,3501.729107089909,27.572670134566213,25.161267798643202,5034.579845012525,39.64236098435059,42.05376332027361
40,1,474,3507.416953094872,27.61745632358167,25.060962241392232,5028.891999007562,39.597574795335134,42.15406887752458
41,1,475,3517.0790789803586,27.693536054963452,25.05806497881899,5019.229873122075,39.521495063953346,42.15696614009782
42,1,540,3627.1994259659123,27.901534045891633,24.900507858173164,5110.754619493273,39.313497073025175,42.31452326074365
43,1,544,4108.745857507355,31.605737365441193,29.140086692075826,4629.208187951831,35.609293753475626,38.074944426840986
44,1,706,3425.8599253469374,26.76453066677295,24.66832229319975,5177.664057874413,40.45050045214385,42.54670882571706
45,1,708,3491.6120931563605,27.06676041206481,24.645954870135153,5179.126921183906,40.14827070685199,42.569076248781656
46,1,714,3679.7965301127115,28.525554496997763,26.296752197589797,4990.942484227555,38.68947662191903,40.918278921327015
47,1,715,3642.5102650580634,28.236513682620647,26.09413649544779,5028.228749282203,38.97851743629615,41.12089462346903
48,1,716,3418.573583906673,26.500570417881185,24.069443487078505,5252.165430433593,40.714460701035605,43.14558763183831
49,1,717,3394.894708698772,26.317013245726912,24.258710425596327,5275.8443056414935,40.89801787318987,42.956320693320485
50,1,718,3354.684631321335,25.8052663947795,23.25140051196108,5383.269414137847,41.40976472413728,43.96363060695573
51,1,719,3447.3003846143724,26.517695266264404,24.740129035215467,5290.65366084481,40.69733585265238,42.474902083701345
52,1,720,3337.466237399483,25.672817210765253,23.28004030535708,5400.487808059699,41.54221390815153,43.934990813559736
