,POI,Do_Rejon,Czas_PrT,Czas_PuT
2,83081.0,1.0,1344.3457288081804,2569.0850614585947
3,83082.0,1.0,119.55954187984476,3200.1229131622367
4,83083.0,1.0,1190.4285918729895,2519.084037647531
5,83084.0,1.0,1003.1306543974289,2968.071473103764
6,83085.0,1.0,240.0908582463378,1553.6807067808065
7,83086.0,1.0,130.99043740963475,1003.1866237922985
8,83087.0,1.0,1570.3256908052015,3057.5215308063566
9,83088.0,1.0,416.00773698175965,1253.5357051685291
10,83089.0,1.0,883.4217191731757,1599.4250043142445
11,83090.0,1.0,1042.3777916903593,1938.0422859966322
12,83081.0,2.0,1377.9717939108825,1901.0850614585945
13,83082.0,2.0,119.55954187984476,3200.1229131622367
14,83083.0,2.0,1092.7257385763398,1834.0840376475314
15,83084.0,2.0,981.1522574624831,2573.071473103764
16,83085.0,2.0,240.0908582463378,1187.6807067808065
17,83086.0,2.0,130.99043740963475,844.1866237922985
18,83087.0,2.0,1636.9495409889525,1824.5215308063569
19,83088.0,2.0,318.30488368511016,1476.5357051685291
20,83089.0,2.0,950.0455693569271,1358.4250043142445
21,83090.0,2.0,944.6749383937099,1829.0422859966322
22,83081.0,3.0,1327.376423391241,2201.0850614585947
23,83082.0,3.0,119.55954187984476,3500.1229131622367
24,83083.0,3.0,1170.1098961563591,2134.084037647531
25,83084.0,3.0,1037.7837128215515,3088.071473103764
26,83085.0,3.0,240.0908582463378,1487.6807067808065
27,83086.0,3.0,130.99043740963475,1144.1866237922984
28,83087.0,3.0,1553.356385388262,2124.5215308063566
29,83088.0,3.0,295.5961396247628,968.5357051685293
30,83089.0,3.0,866.4524137562364,1658.4250043142445
31,83090.0,3.0,1120.551304207655,1964.0422859966322
32,83081.0,4.0,1327.761057225851,2487.0850614585947
33,83082.0,4.0,119.55954187984476,3200.1229131622367
34,83083.0,4.0,1159.5117750153508,2459.084037647531
35,83084.0,4.0,1076.2701487949878,3208.071473103764
36,83085.0,4.0,240.0908582463378,1973.6807067808065
37,83086.0,4.0,130.99043740963475,943.1866237922985
38,83087.0,4.0,1553.741019222872,2599.5215308063566
39,83088.0,4.0,284.9980184837545,830.5357051685293
40,83089.0,4.0,866.8370475908463,1899.4250043142445
41,83090.0,4.0,1109.9531830666467,1818.0422859966322
42,83081.0,5.0,1231.5108925913362,2329.0850614585947
43,83082.0,5.0,119.55954187984476,3458.1229131622367
44,83083.0,5.0,1212.416828011353,1927.0840376475314
45,83084.0,5.0,1099.7336501160187,2353.071473103764
46,83085.0,5.0,240.0908582463378,2152.6807067808063
47,83086.0,5.0,130.99043740963475,1363.1866237922984
48,83087.0,5.0,1457.4908545883573,2662.5215308063566
49,83088.0,5.0,345.2405790130848,1366.5357051685291
50,83089.0,5.0,770.5868829563312,1359.4250043142445
51,83090.0,5.0,1170.195743595977,2880.042285996632
52,83081.0,6.0,1302.9591781002234,1925.0850614585945
53,83082.0,6.0,119.55954187984476,4055.1229131622367
54,83083.0,6.0,1135.4780111762486,2273.084037647531
55,83084.0,6.0,1141.3964843873243,2584.071473103764
56,83085.0,6.0,240.0908582463378,2212.6807067808063
57,83086.0,6.0,130.99043740963475,1128.1866237922984
58,83087.0,6.0,1528.9391400972445,2542.5215308063566
59,83088.0,6.0,260.964254644652,1246.5357051685291
60,83089.0,6.0,842.0351684652184,1382.4250043142445
61,83090.0,6.0,1085.919419227544,1982.0422859966322
62,83081.0,7.0,1199.0270519440928,2269.0850614585947
63,83082.0,7.0,119.55954187984476,3398.1229131622367
64,83083.0,7.0,1150.9217156772106,1867.0840376475314
65,83084.0,7.0,1152.583207268073,2293.071473103764
66,83085.0,7.0,240.0908582463378,2152.6807067808063
67,83086.0,7.0,130.99043740963475,1243.1866237922984
68,83087.0,7.0,1425.0070139411139,2542.5215308063566
69,83088.0,7.0,388.48890097546166,1246.5357051685291
70,83089.0,7.0,738.1030423090874,1299.4250043142445
71,83090.0,7.0,1213.4440655583535,2760.042285996632
72,83081.0,8.0,1172.0875726542135,1721.0850614585945
73,83082.0,8.0,119.55954187984476,3031.1229131622367
74,83083.0,8.0,1154.0742077267523,2054.084037647531
